feature,coefficient
averageOverallScoreWithMedication_lag_1,0.5925011502068003
averageOverallScoreWithMedication_avg_prev_5,0.2035606278683254
averageOverallScoreWithMedication_avg_prev_3,0.12971843940029812
POAC,0.09437867290380356
averageOverallScoreWithMedication_lag_7,0.08462261971438703
averageOverallScoreWithMedication_lag_2,0.06642251595367042
birch,0.05948155192613901
POAC_avg_prev_5,-0.0412654427138674
POAC_lag_3,-0.020287843958747016
averageOverallScoreWithMedication_lag_5,0.014456601696838786
POAC_lag_5,-0.01431364269691908
samples,0.012301466290825727
birch_lag_7,-0.012265887220075433
averageOverallScoreWithMedication_avg_prev_7,0.006864962548678496
birch_avg_prev_7,-0.005456574877616318
birch_lag_2,-0.005103266725663356
POAC_lag_7,-0.00037441941884623105
